ocid,releases/0/id,releases/0/awards/0/id,releases/0/awards/0/status,releases/0/awards/0/date,releases/0/awards/0/value/amount,releases/0/awards/0/value/currency,releases/0/awards/0/relatedLots
ocds-hu01ve-7892109,ocds-hu01ve-7892109-01,1807266,active,2020-10-20T12:00:00Z,2268000,EUR,8451534A7B
ocds-hu01ve-7896432,ocds-hu01ve-7896432-01,1828881,active,2020-10-14T12:00:00Z,24161.3,EUR,84563218D7
ocds-hu01ve-7901456,ocds-hu01ve-7901456-01,1852853,active,2020-11-13T12:00:00Z,53905,EUR,84623475A8
ocds-hu01ve-7826329,ocds-hu01ve-7826329-01,1977219,active,2021-06-28T12:00:00Z,105000,EUR,837594507A
ocds-hu01ve-7961245,ocds-hu01ve-7961245-01,1836415,active,2020-11-30T12:00:00Z,102960.97,EUR,85319346AA
ocds-hu01ve-7905743,ocds-hu01ve-7905743-01,1869105,active,2020-10-23T12:00:00Z,259373.07,EUR,846733490E
ocds-hu01ve-7913738,ocds-hu01ve-7913738-01,1817916,active,2020-11-03T12:00:00Z,71249.53,EUR,8476265328
ocds-hu01ve-7907547,ocds-hu01ve-7907547-01,1817478,active,2020-10-16T12:00:00Z,90034.04,EUR,84695394AF
ocds-hu01ve-7925950,ocds-hu01ve-7925950-01,2039870,active,2020-11-16T12:00:00Z,10400,EUR,8491171FF6
ocds-hu01ve-7925950,ocds-hu01ve-7925950-01,2039886,active,2020-11-17T12:00:00Z,2200,EUR,849119214F
ocds-hu01ve-7925950,ocds-hu01ve-7925950-01,2039877,active,2020-11-17T12:00:00Z,37500,EUR,8491179693
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858696,active,2020-12-21T12:00:00Z,96475,EUR,848567260E
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858592,active,2020-12-21T12:00:00Z,162000,EUR,8485423892
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855231,active,2020-12-21T12:00:00Z,147400,EUR,8483956DF5
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857236,active,2020-12-21T12:00:00Z,326900,EUR,84844841B1
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1914105,active,2020-11-30T12:00:00Z,6625,EUR,8485305732
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852297,active,2020-12-21T12:00:00Z,198025,EUR,8483021A60
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858159,active,2020-12-21T12:00:00Z,145850,EUR,8484985F1D
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857279,active,2020-12-21T12:00:00Z,104550,EUR,84847995A2
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857039,active,2020-12-21T12:00:00Z,92750,EUR,84841416A2
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858586,active,2020-12-21T12:00:00Z,335025,EUR,8485392EFB
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1854979,active,2020-12-21T12:00:00Z,119520,EUR,84834772B0
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858600,active,2020-12-21T12:00:00Z,108275,EUR,8485464A67
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1854947,active,2020-12-21T12:00:00Z,413325,EUR,8483414EAF
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858386,active,2020-12-21T12:00:00Z,164535,EUR,8485039BAE
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857036,active,2020-12-21T12:00:00Z,229700,EUR,8484128BE6
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852050,active,2020-12-21T12:00:00Z,131050,EUR,848297546C
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858551,active,2020-12-21T12:00:00Z,152375,EUR,8485280292
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858369,active,2020-12-21T12:00:00Z,206300,EUR,848502829D
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858537,active,2020-12-21T12:00:00Z,148025,EUR,8485070545
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858396,active,2020-12-21T12:00:00Z,212527.5,EUR,8485043EFA
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852359,active,2020-12-21T12:00:00Z,213250,EUR,8483043C87
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857419,active,2020-12-21T12:00:00Z,136225,EUR,848491555C
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858163,active,2020-12-21T12:00:00Z,192950,EUR,8484990341
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858430,active,2020-12-21T12:00:00Z,133175,EUR,8485063F7B
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852325,active,2021-04-15T12:00:00Z,128150,EUR,8483037795
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858445,active,2020-12-21T12:00:00Z,141400,EUR,84850672CC
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852020,active,2020-12-21T12:00:00Z,141500,EUR,8482967DCF
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858688,active,2020-12-21T12:00:00Z,66250,EUR,8485641C77
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857170,active,2020-12-21T12:00:00Z,118525,EUR,8484412645
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858345,active,2020-12-21T12:00:00Z,280525,EUR,8485021CD3
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857204,active,2020-12-21T12:00:00Z,393150,EUR,8484419C0A
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857436,active,2020-12-21T12:00:00Z,96475,EUR,8484932364
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857065,active,2020-12-21T12:00:00Z,151750,EUR,8484281A29
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852122,active,2020-12-21T12:00:00Z,64750,EUR,8483004C58
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852264,active,2020-12-21T12:00:00Z,129600,EUR,848301556E
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852056,active,2020-12-21T12:00:00Z,136950,EUR,8482982A31
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857413,active,2020-12-21T12:00:00Z,185920,EUR,8484906DEC
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855041,active,2020-12-21T12:00:00Z,89297.5,EUR,8483640931
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857168,active,2020-12-21T12:00:00Z,413125,EUR,8484404FA8
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857074,active,2020-12-21T12:00:00Z,135500,EUR,8484304D23
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855164,active,2020-12-21T12:00:00Z,79525,EUR,84838717D2
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858192,active,2020-12-21T12:00:00Z,104841.25,EUR,8485412F7C
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858589,active,2020-12-21T12:00:00Z,125522.5,EUR,8485400598
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858416,active,2020-12-21T12:00:00Z,125875,EUR,84850504C4
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857070,active,2020-12-21T12:00:00Z,119250,EUR,848429233F
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857078,active,2020-12-21T12:00:00Z,128150,EUR,8484307F9C
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858577,active,2020-12-21T12:00:00Z,612175,EUR,8485331CA5
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1854987,active,2020-12-21T12:00:00Z,137242.5,EUR,8483509D15
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855150,active,2020-12-21T12:00:00Z,271625,EUR,848385067E
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852037,active,2020-12-21T12:00:00Z,295225,EUR,8482968EA2
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855014,active,2020-12-21T12:00:00Z,259925,EUR,848359326A
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857154,active,2020-12-21T12:00:00Z,164900,EUR,8484345EF8
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858409,active,2020-12-21T12:00:00Z,198750,EUR,848504831E
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858570,active,2020-12-21T12:00:00Z,97925,EUR,8485314E9D
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857226,active,2020-12-21T12:00:00Z,95750,EUR,848446954F
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852064,active,2020-12-21T12:00:00Z,141725,EUR,8482985CAA
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858574,active,2020-12-21T12:00:00Z,91398.75,EUR,84853246E0
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1849253,active,2020-12-21T12:00:00Z,64075,EUR,84828469F6
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852222,active,2020-12-21T12:00:00Z,150925,EUR,848301449B
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858561,active,2020-12-21T12:00:00Z,441800,EUR,8485286784
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857446,active,2020-12-21T12:00:00Z,331250,EUR,8484964DC9
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857284,active,2020-12-21T12:00:00Z,533925,EUR,84848038EE
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857442,active,2020-12-21T12:00:00Z,106825,EUR,8484939929
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858568,active,2020-12-21T12:00:00Z,354325,EUR,8485309A7E
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858598,active,2020-12-21T12:00:00Z,165625,EUR,8485458575
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852014,active,2020-12-21T12:00:00Z,309500,EUR,8482964B56
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1854936,active,2020-12-21T12:00:00Z,238500,EUR,8483278E74
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855143,active,2020-12-21T12:00:00Z,109725,EUR,8483837BC2
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1852127,active,2020-12-21T12:00:00Z,663825,EUR,8483005D2B
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858614,active,2021-04-13T12:00:00Z,125475,EUR,8485545D3E
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1910618,active,2021-03-15T12:00:00Z,153300,EUR,84853181EE
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1857388,active,2020-12-21T12:00:00Z,125875,EUR,84848385D1
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1858365,active,2020-12-21T12:00:00Z,315057.5,EUR,8485025024
ocds-hu01ve-7918864,ocds-hu01ve-7918864-01,1855126,active,2020-12-21T12:00:00Z,309925,EUR,8483708151
