ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/awardID,releases/0/contracts/0/period/startDate,releases/0/contracts/0/period/endDate,releases/0/contracts/0/dateSigned
ocds-hu01ve-7923643,ocds-hu01ve-7923643-01,1887991,1887991,,2020-11-12T12:00:00Z,
ocds-hu01ve-7896087,ocds-hu01ve-7896087-01,1878753,1878753,,2021-11-13T12:00:00Z,2021-03-18T12:00:00Z
ocds-hu01ve-7915167,ocds-hu01ve-7915167-01,1886861,1886861,2020-11-02T12:00:00Z,2020-12-19T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-8151212,ocds-hu01ve-8151212-01,2057061,2057061,,2021-05-21T12:00:00Z,2021-05-14T12:00:00Z
ocds-hu01ve-7909782,ocds-hu01ve-7909782-01,1828347,1828347,,2021-11-30T12:00:00Z,
ocds-hu01ve-7920951,ocds-hu01ve-7920951-01,1812904,1812904,,2021-06-30T12:00:00Z,
ocds-hu01ve-7902283,ocds-hu01ve-7902283-01,1827857,1827857,2021-01-21T12:00:00Z,2023-10-22T12:00:00Z,2021-01-21T12:00:00Z
ocds-hu01ve-7934979,ocds-hu01ve-7934979-01,1877175,1877175,,2022-02-02T12:00:00Z,2021-02-02T12:00:00Z
ocds-hu01ve-7906013,ocds-hu01ve-7906013-01,1958895,1958895,,2020-12-08T12:00:00Z,
ocds-hu01ve-7898291,ocds-hu01ve-7898291-01,2051166,2051166,,2023-01-16T12:00:00Z,
ocds-hu01ve-7895432,ocds-hu01ve-7895432-01,1829719,1829719,,2021-11-30T12:00:00Z,2020-12-15T12:00:00Z
ocds-hu01ve-7916147,ocds-hu01ve-7916147-01,1849874,1849874,,2023-08-04T12:00:00Z,
ocds-hu01ve-7919322,ocds-hu01ve-7919322-01,1931732,1931732,2021-05-31T12:00:00Z,2023-12-31T12:00:00Z,2021-05-31T12:00:00Z
ocds-hu01ve-7905978,ocds-hu01ve-7905978-01,1822822,1822822,,2021-05-19T12:00:00Z,2020-11-18T12:00:00Z
